No,channel_1,,channel_2,,channel_3,,channel_4,,channel_5,,channel_6,,channel_7,,channel_8,,channel_9,,channel_10,,output,label
105,20.324331,20.31147,20.31147,24.976034,24.976221,24.976221,25.552473,25.55259,25.55259,25.922235,5.0000277,5.000025,5.000025,11.555205,11.555844,11.555844,14.517483,14.518193,14.518193,16.516333,37.393295,37.8
106,16.001795,15.993414,15.993414,20.810709,20.810238,20.810238,21.503757,21.503548,21.503548,21.956203,2.87e-05,2.58e-05,2.58e-05,6.193278,6.1904283,6.1904283,9.122839,9.122108,9.122108,11.15217,37.1222,37.4
107,36.04526,36.04465,36.04465,36.33311,36.33307,36.33307,36.352203,36.35207,36.35207,36.36613,35.0,35.0,35.0,35.40841,35.40843,35.40843,35.596153,35.596157,35.596157,35.735813,37.77413,37.2
108,16.31809,16.308449,16.308449,21.073128,21.07264,21.07264,21.755135,21.754868,21.754868,22.196028,2.87e-05,2.58e-05,2.58e-05,6.34209,6.339173,6.339173,9.351278,9.350462,9.350462,11.431366,37.161346,37.4
109,23.524632,23.514793,23.514793,27.658407,27.658638,27.658638,28.51503,28.515049,28.515049,29.370228,10.000025,10.000022,10.000022,15.6054945,15.606056,15.606056,18.29111,18.291618,18.291618,20.376356,37.467876,37.6
110,33.56305,33.560295,33.560295,34.582912,34.58342,34.58342,34.648792,34.64884,34.64884,34.72577,30.000006,30.000006,30.000006,31.481524,31.481627,31.481627,32.146885,32.146957,32.146957,32.63119,37.68824,37.4
111,38.73534,38.7364,38.7364,38.342937,38.34288,38.34288,38.305134,38.305214,38.305214,38.24537,39.999996,39.999996,39.999996,39.440758,39.440666,39.440666,39.18619,39.18619,39.18619,38.98534,37.888542,37.6
112,21.160334,21.146275,21.146275,25.508905,25.50908,25.50908,26.748034,26.74789,26.74789,27.942867,5.000032,5.0000286,5.0000286,11.564753,11.565153,11.565153,14.859809,14.860653,14.860653,17.45942,37.451107,37.0
113,25.316988,25.309805,25.309805,28.024094,28.024273,28.024273,28.385435,28.385405,28.385405,28.635315,15.000017,15.000015,15.000015,19.076855,19.077175,19.077175,20.956621,20.956608,20.956608,22.341127,37.4045,37.4
114,31.61295,31.607643,31.607643,33.384865,33.38498,33.38498,33.856533,33.8565,33.8565,34.338036,25.000011,25.00001,25.00001,27.72621,27.726658,27.726658,29.060661,29.060791,29.060791,30.125786,37.687252,38.0
115,33.428627,33.42669,33.42669,34.295414,34.295555,34.295555,34.501923,34.501945,34.501945,34.72646,30.000006,30.000006,30.000006,31.299795,31.299826,31.299826,31.941935,31.941973,31.941973,32.460533,37.658127,37.0
116,36.230236,36.229286,36.229286,36.587944,36.588,36.588,36.64011,36.640038,36.640038,36.70996,35.000004,35.000004,35.000004,35.5125,35.51258,35.51258,35.75584,35.75584,35.75584,35.9507,37.802612,37.4
117,16.381721,16.371794,16.371794,21.669458,21.669012,21.669012,22.37751,22.377296,22.377296,22.84606,3.06e-05,2.76e-05,2.76e-05,6.671626,6.6684694,6.6684694,9.759882,9.759029,9.759029,11.867553,37.21501,37.6
118,38.53252,38.53361,38.53361,38.154835,38.153942,38.153942,38.09822,38.098324,38.098324,38.009995,39.999996,39.999996,39.999996,39.41161,39.41159,39.41159,39.122753,39.122707,39.122707,38.88747,37.868126,37.2
119,36.483456,36.482567,36.482567,36.950962,36.95159,36.95159,36.997982,36.99792,36.99792,37.066658,35.000004,35.000004,35.000004,35.611393,35.611412,35.611412,35.89121,35.891266,35.891266,36.109837,37.841473,38.0
120,31.04566,31.040535,31.040535,32.945797,32.946213,32.946213,33.143852,33.143803,33.143803,33.294155,25.000011,25.00001,25.00001,27.682543,27.682816,27.682816,28.847612,28.8476,28.8476,29.683056,37.638027,37.6
121,25.57897,25.571468,25.571468,28.492422,28.47979,28.47979,28.876932,28.871058,28.871058,29.136318,15.000018,15.000016,15.000016,19.236101,19.204496,19.204496,21.198584,21.188286,21.188286,22.629723,37.454594,38.0
